ICAO, Registration, Model, Aircraft Type
c01723,C-FITU,B77W,L2J
c05873,C-GHMW,CL60,L2J
4bb143,TC-LJC,B77W,L2J
c058d5,C-GHQQ,B788,L2J
40731c,G-ZBJI,B788,L2J
39cf12,F-HTYS,A359,L2J
c06709,C-GNAM,BCS3,L2J
c060c7,C-GKQW,E295,No
c01945,C-FJOU,A321,L2J
c04826,C-GBIJ,A319,L2J
c06a58,C-GOHB,F2TH,L2J
c04811,C-GBHO,A319,L2J
48ae00,SP-LRA,B788,L2J
c00cb6,C-FEVD,B738,L2J
4d23ed,9H-VIM,GL7T,No
3949f9,F-GSPZ,B772,L2J
a6ee8e,N546DN,A21N,L2J
c05eb6,C-GJWN,A321,L2J
c038aa,C-FVLX,B789,L2J
c07982,C-GUAJ,B763,L2J
c07971,C-GTZS,BCS3,L2J
740827,JY-BAG,B788,L2J
c08852,C-GZQF,E295,No
440cdc,OE-LTC,GLF5,L2J
c01aa6,C-FKCJ,B752,L2J
c0172e,C-FIUF,B77L,L2J
c060b6,C-GKQF,DH8D,L2T
c0175a,C-FIVX,B77W,L2J
c060c9,C-GKQY,E295,No
c0884f,C-GZQC,E295,No
c00ba7,C-FEKS,E75S,No
c038a7,C-FVLU,B789,L2J
c06365,C-GLQQ,DH8D,L2T
740825,JY-BAE,B788,L2J
c008c6,C-FDIJ,B763,L2J
a9a901,N721TW,B752,L2J
c06be3,C-GOWG,B738,L2J
c06361,C-GLQM,DH8D,L2T
c02ebd,C-FRSE,B789,L2J
c01734,C-FIUL,B77W,L2J
c06a88,C-GOIX,A21N,L2J
c06229,C-GLEM,P180,L2T
c030ef,C-FSNU,B38M,L2J
a07304,N128SK,FA8X,No
c0173a,C-FIUR,B77W,L2J
c06a7f,C-GOIO,A21N,L2J
c0332c,C-FTJV,B38M,L2J
c05bc8,C-GITR,A319,L2J
c07966,C-GTZH,BCS3,L2J
abb035,N852QS,C700,No
c0466c,C-GARJ,A319,L2J
c06a7b,C-GOIK,A21N,L2J
c05f8f,C-GKEW,C560,L2J
c06362,C-GLQN,DH8D,L2T
c04671,C-GARO,A319,L2J
c01e28,C-FLKX,A321,L2J
c02535,C-FOCI,CL35,L2J
c050ae,C-GEOJ,B38M,L2J
c02029,C-FMEQ,B752,L2J
406890,G-ZBJC,B788,L2J
c01753,C-FIVQ,B77W,L2J
c038a3,C-FVLQ,B789,L2J
c05ec7,C-GJXE,BCS3,L2J
4ba94c,TC-JJL,B77W,L2J
c07e2c,C-GVUH,BCS3,L2J
c013de,C-FHNP,B737,L2J
c04aed,C-GCJS,B752,L2J
c06279,C-GLHO,B190,L2T
c06539,C-GMIQ,B38M,L2J
c079a1,C-GUBO,A333,L2J
